_id,BankAccount,Currency,CurrencyAmount,NumberOfItems,BoughtOrSold,ShopOwner,Buyer,Seller,WorldObjectItem,ItemUsed,Citizen,ActionLocation,Count,Time
"67e6e9154cdda8125e5db54c",481489,112783,9.0,3.0,18,356337,481483,356337,"StoreItem","RootCampfireSaladItem",481483,"554,71,811",2.0,12981
"67e6e9a84cdda8125e5dc6ac",516724,112783,3.0,1.0,18,356337,516716,356337,"StoreItem","BeetCampfireSaladItem",516716,"554,71,811",1.0,12755
"67e6ebfd4cdda8125e5e0e21",483922,112783,45.0,15.0,18,481706,483914,481706,"StoreItem","HewnLogItem",483914,"1506,71,1582",1.0,13351
"67e6ed214cdda8125e5e329c",357843,112783,3.0,1.0,18,356337,357835,356337,"StoreItem","RootCampfireSaladItem",357835,"554,71,811",3.0,14062
"67e6ed7f4cdda8125e5e3cbb",490492,112783,0.119999997,12.0,18,362215,490484,362215,"StoreItem","CharredFishItem",490484,"759,73,1442",4.0,13794
"67e6eed24cdda8125e5e6506",513314,112783,270.0,27.0,19,111594,111594,513306,"StoreItem","GeologyResearchPaperBasicItem",513306,"818,71,771",1.0,14077
"67e6ef7e4cdda8125e5e77e0",479605,112783,60.0,15.0,18,481706,479597,481706,"StoreItem","HewnLogItem",479597,"1506,71,1582",2.0,14365
"67e6f04b4cdda8125e5e8e62",484915,112783,2.200000048,22.0,19,480956,480956,484905,"StoreItem","WoodPulpItem",484905,"1412,72,571",27.0,17926
"67e6f0774cdda8125e5e9349",481305,112783,40.0,1.0,18,362223,481295,362223,"StoreItem","DendrologyResearchPaperBasicItem",481295,"1409,68,654",3.0,17649
"67e6f0a34cdda8125e5e9909",479605,112783,6.0,20.0,19,481706,481706,479597,"StoreItem","BirchLogItem",479597,"1506,71,1582",27.0,17393
"67e6f0d64cdda8125e5e9f33",575950,112783,0.299999982,30.0,18,362215,575942,362215,"StoreItem","PlantFibersItem",575942,"759,73,1442",5.0,15656
"67e6f1174cdda8125e5ea6ad",457460,112783,7.400000095,74.0,19,480956,480956,362219,"StoreItem","WoodPulpItem",362219,"1412,72,571",1.0,14658
"67e6f2b14cdda8125e5ed212",111777,112783,15.300000191,9.0,18,510794,111769,510794,"StoreItem","HewnLogItem",111769,"1407,72,1357",6.0,16669
